Lat,Lon,Year,Day,Month,SolarNoon,Sunrise,Sunset
37.773972,122.431297,2023,1,Jan,11:53:19,07:06,16:42
37.773972,122.431297,2023,1,Feb,12:03:42,06:55,17:13
37.773972,122.431297,2023,1,Mar,12:02:48,06:23,17:43
37.773972,122.431297,2023,1,Apr,11:54:26,05:37,18:12
37.773972,122.431297,2023,1,May,11:47:31,04:55,18:40
37.773972,122.431297,2023,1,Jun,11:47:58,04:30,19:06
37.773972,122.431297,2023,1,Jul,11:53:57,04:32,19:16
37.773972,122.431297,2023,1,Aug,11:56:42,04:53,19:00
37.773972,122.431297,2023,1,Sep,11:50:38,05:20,18:21
37.773972,122.431297,2023,1,Oct,11:40:19,05:45,17:34
37.773972,122.431297,2023,1,Nov,11:33:51,06:15,16:52
37.773972,122.431297,2023,1,Dec,11:38:53,06:46,16:32
37.773972,122.431297,2023,2,Jan,11:53:48,07:06,16:42
37.773972,122.431297,2023,2,Feb,12:03:51,06:54,17:14
37.773972,122.431297,2023,2,Mar,12:02:37,06:21,17:44
37.773972,122.431297,2023,2,Apr,11:54:09,05:35,18:13
37.773972,122.431297,2023,2,May,11:47:23,04:54,18:41
37.773972,122.431297,2023,2,Jun,11:48:07,04:30,19:07
37.773972,122.431297,2023,2,Jul,11:54:09,04:32,19:16
37.773972,122.431297,2023,2,Aug,11:56:38,04:54,18:59
37.773972,122.431297,2023,2,Sep,11:50:20,05:21,18:19
37.773972,122.431297,2023,2,Oct,11:39:59,05:46,17:33
37.773972,122.431297,2023,2,Nov,11:33:49,06:16,16:51
37.773972,122.431297,2023,2,Dec,11:39:16,06:47,16:32
37.773972,122.431297,2023,3,Jan,11:54:16,07:06,16:43
37.773972,122.431297,2023,3,Feb,12:03:58,06:53,17:15
37.773972,122.431297,2023,3,Mar,12:02:25,06:20,17:45
37.773972,122.431297,2023,3,Apr,11:53:51,05:34,18:14
37.773972,122.431297,2023,3,May,11:47:16,04:53,18:42
37.773972,122.431297,2023,3,Jun,11:48:17,04:30,19:07
37.773972,122.431297,2023,3,Jul,11:54:20,04:33,19:16
37.773972,122.431297,2023,3,Aug,11:56:34,04:55,18:58
37.773972,122.431297,2023,3,Sep,11:50:00,05:21,18:18
37.773972,122.431297,2023,3,Oct,11:39:40,05:47,17:31
37.773972,122.431297,2023,3,Nov,11:33:47,06:17,16:50
37.773972,122.431297,2023,3,Dec,11:39:39,06:48,16:31
37.773972,122.431297,2023,4,Jan,11:54:44,07:06,16:44
37.773972,122.431297,2023,4,Feb,12:04:05,06:52,17:16
37.773972,122.431297,2023,4,Mar,12:02:12,06:19,17:46
37.773972,122.431297,2023,4,Apr,11:53:33,05:32,18:15
37.773972,122.431297,2023,4,May,11:47:10,04:52,18:43
37.773972,122.431297,2023,4,Jun,11:48:26,04:29,19:08
37.773972,122.431297,2023,4,Jul,11:54:32,04:33,19:16
37.773972,122.431297,2023,4,Aug,11:56:30,04:56,18:57
37.773972,122.431297,2023,4,Sep,11:49:41,05:22,18:16
37.773972,122.431297,2023,4,Oct,11:39:21,05:48,17:30
37.773972,122.431297,2023,4,Nov,11:33:47,06:18,16:49
37.773972,122.431297,2023,4,Dec,11:40:02,06:49,16:31
37.773972,122.431297,2023,5,Jan,11:55:11,07:06,16:45
37.773972,122.431297,2023,5,Feb,12:04:11,06:51,17:18
37.773972,122.431297,2023,5,Mar,12:01:59,06:17,17:47
37.773972,122.431297,2023,5,Apr,11:53:16,05:31,18:16
37.773972,122.431297,2023,5,May,11:47:04,04:51,18:44
37.773972,122.431297,2023,5,Jun,11:48:36,04:29,19:09
37.773972,122.431297,2023,5,Jul,11:54:42,04:34,19:16
37.773972,122.431297,2023,5,Aug,11:56:24,04:57,18:56
37.773972,122.431297,2023,5,Sep,11:49:21,05:23,18:15
37.773972,122.431297,2023,5,Oct,11:39:02,05:49,17:28
37.773972,122.431297,2023,5,Nov,11:33:48,06:19,16:48
37.773972,122.431297,2023,5,Dec,11:40:26,06:50,16:31
