Lat,Lon,Year,Day,Month,SolarNoon,Sunrise,Sunset,SunriseTime,SolarNoonTime,SunsetTime
37.773972,122.431297,2023,1,Jan,11:53:19,07:06,16:42,7.1,11.88861111111111,16.7
37.773972,122.431297,2023,1,Feb,12:03:42,06:55,17:13,6.916666666666667,12.061666666666667,17.216666666666665
37.773972,122.431297,2023,1,Mar,12:02:48,06:23,17:43,6.383333333333334,12.046666666666667,17.716666666666665
37.773972,122.431297,2023,1,Apr,11:54:26,05:37,18:12,5.616666666666667,11.907222222222222,18.2
37.773972,122.431297,2023,1,May,11:47:31,04:55,18:40,4.916666666666667,11.791944444444445,18.666666666666668
37.773972,122.431297,2023,1,Jun,11:47:58,04:30,19:06,4.5,11.799444444444445,19.1
37.773972,122.431297,2023,1,Jul,11:53:57,04:32,19:16,4.533333333333333,11.899166666666666,19.266666666666666
37.773972,122.431297,2023,1,Aug,11:56:42,04:53,19:00,4.883333333333333,11.945,19.0
37.773972,122.431297,2023,1,Sep,11:50:38,05:20,18:21,5.333333333333333,11.84388888888889,18.35
37.773972,122.431297,2023,1,Oct,11:40:19,05:45,17:34,5.75,11.671944444444444,17.566666666666666
37.773972,122.431297,2023,1,Nov,11:33:51,06:15,16:52,6.25,11.564166666666667,16.866666666666667
37.773972,122.431297,2023,1,Dec,11:38:53,06:46,16:32,6.766666666666667,11.648055555555555,16.533333333333335
37.773972,122.431297,2023,2,Jan,11:53:48,07:06,16:42,7.1,11.896666666666667,16.7
37.773972,122.431297,2023,2,Feb,12:03:51,06:54,17:14,6.9,12.064166666666667,17.233333333333334
37.773972,122.431297,2023,2,Mar,12:02:37,06:21,17:44,6.35,12.043611111111112,17.733333333333334
37.773972,122.431297,2023,2,Apr,11:54:09,05:35,18:13,5.583333333333333,11.9025,18.216666666666665
37.773972,122.431297,2023,2,May,11:47:23,04:54,18:41,4.9,11.789722222222222,18.683333333333334
37.773972,122.431297,2023,2,Jun,11:48:07,04:30,19:07,4.5,11.801944444444445,19.116666666666667
37.773972,122.431297,2023,2,Jul,11:54:09,04:32,19:16,4.533333333333333,11.9025,19.266666666666666
37.773972,122.431297,2023,2,Aug,11:56:38,04:54,18:59,4.9,11.943888888888889,18.983333333333334
37.773972,122.431297,2023,2,Sep,11:50:20,05:21,18:19,5.35,11.83888888888889,18.316666666666666
37.773972,122.431297,2023,2,Oct,11:39:59,05:46,17:33,5.766666666666667,11.66638888888889,17.55
37.773972,122.431297,2023,2,Nov,11:33:49,06:16,16:51,6.266666666666667,11.563611111111111,16.85
37.773972,122.431297,2023,2,Dec,11:39:16,06:47,16:32,6.783333333333333,11.654444444444445,16.533333333333335
37.773972,122.431297,2023,3,Jan,11:54:16,07:06,16:43,7.1,11.904444444444445,16.716666666666665
37.773972,122.431297,2023,3,Feb,12:03:58,06:53,17:15,6.883333333333333,12.066111111111113,17.25
37.773972,122.431297,2023,3,Mar,12:02:25,06:20,17:45,6.333333333333333,12.040277777777778,17.75
37.773972,122.431297,2023,3,Apr,11:53:51,05:34,18:14,5.566666666666666,11.897499999999999,18.233333333333334
37.773972,122.431297,2023,3,May,11:47:16,04:53,18:42,4.883333333333333,11.787777777777778,18.7
37.773972,122.431297,2023,3,Jun,11:48:17,04:30,19:07,4.5,11.804722222222223,19.116666666666667
37.773972,122.431297,2023,3,Jul,11:54:20,04:33,19:16,4.55,11.905555555555557,19.266666666666666
37.773972,122.431297,2023,3,Aug,11:56:34,04:55,18:58,4.916666666666667,11.942777777777778,18.966666666666665
37.773972,122.431297,2023,3,Sep,11:50:00,05:21,18:18,5.35,11.833333333333334,18.3
37.773972,122.431297,2023,3,Oct,11:39:40,05:47,17:31,5.783333333333333,11.661111111111111,17.516666666666666
37.773972,122.431297,2023,3,Nov,11:33:47,06:17,16:50,6.283333333333333,11.563055555555556,16.833333333333332
37.773972,122.431297,2023,3,Dec,11:39:39,06:48,16:31,6.8,11.660833333333334,16.516666666666666
37.773972,122.431297,2023,4,Jan,11:54:44,07:06,16:44,7.1,11.912222222222223,16.733333333333334
37.773972,122.431297,2023,4,Feb,12:04:05,06:52,17:16,6.866666666666667,12.068055555555555,17.266666666666666
37.773972,122.431297,2023,4,Mar,12:02:12,06:19,17:46,6.316666666666666,12.036666666666667,17.766666666666666
37.773972,122.431297,2023,4,Apr,11:53:33,05:32,18:15,5.533333333333333,11.8925,18.25
37.773972,122.431297,2023,4,May,11:47:10,04:52,18:43,4.866666666666667,11.786111111111111,18.716666666666665
37.773972,122.431297,2023,4,Jun,11:48:26,04:29,19:08,4.483333333333333,11.807222222222222,19.133333333333333
37.773972,122.431297,2023,4,Jul,11:54:32,04:33,19:16,4.55,11.908888888888889,19.266666666666666
37.773972,122.431297,2023,4,Aug,11:56:30,04:56,18:57,4.933333333333334,11.941666666666666,18.95
37.773972,122.431297,2023,4,Sep,11:49:41,05:22,18:16,5.366666666666666,11.828055555555554,18.266666666666666
37.773972,122.431297,2023,4,Oct,11:39:21,05:48,17:30,5.8,11.655833333333334,17.5
